,data,type
132,i party darling don t close ss ur eyes just look at me wll feel hotest body excotick beaty between in my to leg s will be yummyy and u wll be deisire just take a horny enjoin movie record,love
133,i tend to be a little more relaxed with our days im forced to be a bit more flexible with toddlers but a lot of days im left feeling frustrated that i didnt get more done,anger
134,i feel like the sequel was ok but overrated not as great as so many deem it to be,joy
135,i feel exhausted and just want to be taken care of,sadness
136,i feel supportive over chinas copyright violations if only for machiavellian reasons,love
137,i am feeling more creative now and am able to think outside the box a bit and am going to attempt a more adventurous eating plan this week,joy
138,i feel relieved and ready to move on to the next series of challenges that life has to offer,joy
139,i was feeling depressed about our infertility and had received a slew of pregnancy announcements that week,sadness
140,i personally feel to confront violent death with absolute openness for example on video which is not something i have managed to do yet,anger
141,i feel really socially awkward and dont like to get out and meet new people and do things in groups and be adventurous,sadness
142,im feeling cranky im not going to lie,anger
143,i want them to feel as if they are intelligent and able to make their own decisions,joy
144,i know people usually feel devastated when someone they know dies the fact that they didnt invite me to the funeral has hurt a lot,sadness
145,i dream i feel like i am finally not burdened by all of the things that i feel just crushing me when im awake,sadness
146,i feel i find i felt target blank clasheen by nicola brown a href http keepmeinstitchez,sadness
147,i have not seen any change in my appearance but i feel more energetic i am sure this is just mental,joy
148,i suppose i am a bit on occasion but now ive become this horrible annoying person and i feel so strange about it,fear
149,i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,surprise
150,im sure ill get through it im just feeling whiney today,sadness
151,i feel like i probably would have liked this book a little bit more if it wasn t such a simple story line,love
152,i remember feeling so embarrassed the entire meeting,sadness
153,i kind of feel more violent after having watched the non violence video,anger
154,i feel that im as curious as when i was a child,surprise
155,i left feeling entertained but empty,joy
156,i also feel very nostalgic about all these highschool memories,love
157,im warning you hes feeling cranky this morning,anger
158,i trust that in moments of feeling fine even moments of joy that my grief may sometimes come slam me in the face,joy
159,im feeling really terrible about it because my journaling has also come to a screeching halt as well,sadness
160,i just need to find ways to feel pretty,joy
161,i am feeling a little overwhelmed but ive been given some amazing tools met some wonderfully creative fun and crazy people and was reminded that i have a voice that has been silent for too long,surprise
162,ill take my gfathers ute down to get a load of shit or as some would prefer manure but im feeling hostile so let me have it and will attempt a version of a home made compost,anger
163,i feel annoyed by that girl,anger
164,ive had my ass handed to me by murt and im starting to feel fucked but just a little,anger
165,im feeling very agitated right now,anger
166,i feel so helpless yet so motivated to do something,sadness
167,i feel like being selfish and keeping this foodie secret myself but why would i deny everyone else,anger
168,i have found the perfect remedy for anyone feeling stressed or conflicted about the future its the a href http www,anger
169,i feel what its like to be popular,joy
170,i feel very disturbed now thanks to this psychopath s useless and fake story,sadness
171,i also remember feeling like all eyes were on me all the time and not in a glamorous way and i hated it,joy
172,im not sure but theres nothing that will get a person feeling amorous faster than a stay in a hotel,love
173,i feel like ive been sooo distracted and i need to regain my focus again,anger
174,i was creating a relationship to counter a self accepted and allowed self definition of being inferior to them which means i was feeling lousy thinking i was less than because i was not being in the limelight of praise of gain,sadness
175,i used to think that men needed their women to like and respect all their friends and family in order to feel respected themselves,joy
176,i really need something that make me feel cute and ready to blog and this look really make my fashion juices into work with my vintage necklace and new bracelets like this bracelet from fleet i got a it a week ago and have wearing ever since,joy
177,i spent the rest of the morning feeling discouraged and disappointed,sadness
178,i feel like i am really valuable to him,joy
179,i have had several new members tell me how comfortable they feel with how accepted they are by the existing members and that is great to hear,joy
180,im feeling generous today heres the link,joy
181,im busy i just bask in that fabulous overwhelming feeling and when i have really nothing to do i just live my life as a cat would just caring about sleeping and eating,love
182,i know now makes me feel outraged,anger
183,i feel like im reliving the prequel again another jedi queen in a romantic relationship trying to keep it secret,love
184,i walk by those temptations i feel disgusted,anger
185,i can feel the warmth of the gentle sun,love
186,im off to the big city solo for what im afraid is going to be six days of wandering around lost six days of feeling uncomfortable six days of not knowing how to dress six days of not knowing what to do six days of not knowing where to eat six days of disaster disaster disaster,fear
187,i feel these divine forces so strongly sometimes i wonder if agnostics atheists and judeo christian fundamentalists have any feeling or excitement in their hearts,joy
188,ill be darned if i will feel shamed for caring about the blogging community,sadness
189,i am this morning filled with the feeling of possibility and the gentle morning haze of nyquil,love
190,i am offering two original works for immediate sale for cheaper than usual as i want to donate all the proceeds to a cause i feel very worthwhile before mid february,joy
191,i do feel stressed,sadness
192,i at times feel so utterly useless and undeserving of such a magnificent woman in my life,sadness
193,i was feeling grouchy and all,anger
194,im feeling a little anxious,fear
195,i only need to feel respected and safe,joy
196,i find myself to pick a draw i somehow have the feeling that heung min son has something special in store for us,joy
197,i feel like i can read all the articles and blogs and even the press releases from the akron marathon in the world but nothing can calm me down,joy
198,i continue to add more so please feel free to explore and let me know what you think,joy
199,i feel really lucky to be part of it,joy
200,i wear funny cartoon t shirts of course with my favorite cartoon characters like bugs bunny and tweety bird that is when i feel humorous and in high spirits like going to a park or a mall with my crazy and dorky friends,joy
201,i did feel like the people there were appreciative of what they had and many had happiness in that pinnacle way that is non materialistic,joy
202,i enjoyed this semester and i enjoyed the challenges i got to face and overcome and i feel that i m really coming away with a lot of valuable experience out of this,joy
203,i feel satisfied that ive made the cut off you can only receive overflow money from stsm if you are over and i told myself that im just going to wait for the overflow instead of trying to hit and help my team,joy
204,i can feel myself getting triggered by my emotional eating when i am sick with either a cold virus or just plain old stomach flu,sadness
205,im feeling less generous i call her psychotic,love
206,im loving the green in this picture but have a feeling i may be going with something a little more kid friendly,joy
207,i was feeling particulary generous today so im giving away packages instead of,joy
208,i think i deserve for once this freedom makes me feel amazing,surprise
209,i really feel relaxed is when i am in my art class painting and it is really conveniently at the end of the day so i can unwind and take a breather,joy
210,i get close to feeling what that is like is through dance which is putting music and motion together in a similarly creative way,joy
211,i ended up eating lots of carbs on both days but i didn t feel as pressured to eat a bunch on the last day,fear
212,i wound up with something lodged in my oesophagus which didn t feel pleasant to put it lightly,joy
213,i shouldn t have been surprised by the amount of courage that these men had but i can t help but feel slightly shocked by it,surprise
214,i feel about oprah she is such a draw to women she is friendly has dealt with her struggles openly such as weight and abuse and seems to genuinely care about issues that concern our lives,joy
215,i feel isolated and overwhelmed this lie can cause me to abandon any project that a class zem slink title god href http en,sadness
216,i feel very honoured to be part of our fabulous team,joy
217,i feel as if she isnt faithful but i dont have a reason to should approach her or just wait until i have a reason to approach her,joy
218,i guess but it feels like the most unpleasant joke youve ever heard,sadness
219,i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,sadness
220,ive found it has made a huge difference especially on the finger with my ring and the my skin feels so much softer and less irritated,anger
221,i feel amazed when i saw the final result even thos without fishes inside,surprise
222,i do feel jealous sometimes especially when it comes to friends,anger
223,i have begun to feel as though i have valuable contributions and insights to make within a network of professionals,joy
224,i had to move rooms and i just feel absolutely exhausted,sadness
225,i was feeling depressed before i went for this jog,sadness
226,i feel that my beloved nakahara mai would voice her nicely,love
227,i wound up feeling pleased with how tightly paced the film is,joy
228,i have been told that these same vendors feel like they might end up supporting much more than just one more platform as linux has many popular distribution releases these days,love
229,i feel like i ve been put in a bag and shaken up but otherwise ok,fear
230,i feel very cute and very girlie when i dress that way,joy
231,i want people to have the same feeling of delighted shock i had when i saw it,joy
232,i know i feel vulnerable,fear
233,i realise that desiring a substance to feed a feeling only compounds the desire to feed the feeling i realise ive abused substances since early childhood,sadness
234,i would estimate that when i speak nepali i feel about as intelligent as when i speak english with german i feel about as intelligent and with spanish i feel about as intelligent,joy
235,i hope you like my efforts and that you will pop across and check out all the other wonderful creations that the team have come up with there are some truly talented ladies on the team so i feel very honoured to be allowed to join them this time,joy
236,i understand that they are reacting to what we re doing i think they re observing us closely and i become happier i can actual feel that they re supporting us,love
237,i am hating myself at the moment because i feel so hateful to another person,anger
238,i want to box because i feel more confident in my own skin after just three weeks of boxing than i have felt in my entire life,joy
239,i feel crappy so i don t run which makes me feel more crappy and so on and so on,sadness
240,i had to continue to enforce my no playdate policy which meant i continued to feel angry twice over each day once during a horrible morning drop off and once in the afternoon when i reminded noah that no he couldnt play because of the bad drop off missing mommy,anger
241,i think this is because i feel as if it is unimportant to be out with people or talk to people because it seems as if i have little to say that is interesting,sadness
242,i am the only bright spot he has now i feel as if i have been burdened with more than i initially thought,sadness
243,i drove back to the beach staring at the thing on the seat beside me feeling very depressed,sadness
244,i was already feeling pretty nervous about this prospect as i had a suitcase full of dvds of which we only watched one,fear
245,im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,anger
246,i feel lucky every single day for it,joy
247,i feel studying and doing homework again after weeks of holidays target blank img title stumbleupon class ssba alt stumbleupon src http www,sadness
248,i remember feeling absolutely devastated when i heard that peach wasn t actually there to give me cake,sadness
249,i feel so glad that i have a cool mama,joy
250,i still end up feeling a bit dazed from sheer sensory overload after spending an extended time in a very crowded area but today it wasnt too bad and the good company more than made up for it,surprise
251,ive hated pretty much every shampoo ive tried without sulfates i often feel they make my hair look dull and produce pretty much no lather i need bubbles,sadness
252,im just feeling very uncertain and,fear
253,i always feel a bit awkward when i comment on someone s blog because i invariably go on rabbit trails and feel as though i ve been overstepping myself so i d like to tell you if you find yourself feeling the same way that i do not mind in the slightest,sadness
254,im feeling awful this afternoon,sadness
255,i don t feel the least bit unwelcome in my party and my views are not uncommon,sadness
256,i put forward to all their social diktats make them feel i am rebellious towards their authority,anger
257,i feel agitated and simply irritated,anger
258,first anatomy lesson,anger
259,i love and feel passionate about i m living my dream and now that i ve gotten a taste of what that feels like nothing can stop me,love
260,i feel reassured and comforted that i will be seeing my oncologist every three months and my surgeon every six months,joy
261,i have a creative group of friends i can go to when im feeling creative,joy
262,i feel personally ashamed that god made the sacrifice he did,sadness
263,i feel like hes a little pissed at me,anger
264,im feeling it would be obnoxious,anger
265,i like them cause i can take or of one if i am having muscle pains and i don t want to feel groggy,sadness
266,i feel like i should have actively hated every single second rather than just borne it all,anger
267,i think you only ask for help to make me feel useful and help me gain some perspective,joy
268,im listing some reference verses to look up and read to remind you when thoughts and feeling of rejection haunt you that you are a beloved child of god,love
269,i never feel hesitant or timid,fear
270,i had a quarrel with my parents i was convinced to be right,anger
271,i feel insulted pete edochie responds to death,anger
272,i feel quite devastated when i have to rush away sometimes,sadness
273,i feel especially passionate about the friendships and support network that we enjoy as a part of womens ministry at befc today,love
274,i feel im being generous with that statement,joy
275,i that it feels like she is being tortured,fear
276,i have a job where i am needed and where i am missed when i go away and its not just the things that i do that are missed but me as a person and that feels amazing,joy
277,i feel more inspired,joy
278,i feel like i was assaulted by a titanium hedgehog,fear
279,i feel like god has been gracious in answering prayers,joy
280,i am feeling uncertain of the merits of posting to this blog with the frequency or earnestness i had been over the previous year,fear
281,im feeling slightly irritable but generally level headed and actually not in a bad mood,anger
282,i dont know how to explain to you all the emotions that i felt at that moment but i can assure you of one thing i didnt have to convince myself to feel passionate about dominican republic,love
283,i spoke with reported feeling dissassociated and dissatisfied with their human lives,anger
284,i feel like trusting the driver,joy
285,i feel like the fans see the girls as wimpy and not as good as the guys,fear
286,i feel dirty if i dont,sadness
287,i anger people because when i feel agitated with something i get frantic and speak fast and snippy,fear
288,im now and still addicted to the way living a healthy and fit lifestyle makes me feel energetic confident strong and youthful on a daily basis,joy
289,i would feel awful if she was here this whole time,sadness
290,im starting to feel a bit more resolved,joy
291,i cant help how i feel im sorry,sadness
292,i didn t feel intimidated or overwhelmed with information though,fear
293,i think this has caused me to resonate more deeply with others who lack connection and support who are alone who feel they do not have support who are suffering,sadness
294,i found out on a day when i was feeling stressed and unsure of my abilities,sadness
295,i especially enjoyed listening to shotgun lovesongs on audio book as it just seemed to give even more depth and feeling to what is truly a very special novel,joy
296,i says pressing his torso against siwons and bringing their faces close enough that he can feel siwons agitated breath,anger
297,i feel really uptight and unable to unwind,fear
298,i feel that this kind of website would be amazing for learning purposes in which it already does provide the viewer with knowledge regarding the history of paris,joy
299,i bring these to mind and feel the joyful laughter well up within my heart it becomes hard to remain weighed down by the heavier negative feelings,joy
300,i feel so relieved but at the same time i feel so lost,joy
301,i feel like my life has become rather dull it lacks excitement but i feel next year will be different,sadness
302,i do not feel disadvantaged or jealous without these things i feel empowered instead,sadness
303,i think they feel somehow offended because the christians played a big part in destroying the earlier cultures religions and mythologies,anger
304,i made you feel unimportant yet you never stopped to think how your actions and words were affecting me,sadness
305,i feel blessed amazed and yes very excited,love
306,i had a great relationship i feel so blessed to have had such a strong male figure in my life he truly treated me like his princess,love
307,i always feel so dull in the morning,sadness
308,i feel very unhappy and incomplete,sadness
309,i have learned to not take myself seriously enough to feel humiliated,sadness
310,i had a really good first impression of them but i feel one of them dont really like us because she wasnt as friendly as when we first moved in,joy
311,i cant help it because of the way i feel around my family like pairs of eyes boring into my back and just observing me all the time,sadness
312,i feel inspired so many thing i want to write down,joy
313,i feel like i ve been distracted all day or i ve been dealing more with fiddly necessities than actual creative work then i ll feel like the day s been wasted,anger
314,i really feel and i know the devil hates that its always been something he could use against me and im determined not to let him,joy
315,i feel so honored to call rex dingler a friend,joy
316,i did feel reluctant to keep on going and drew focalors sigil with a black opium incense stick on a wall by grabbing the wooden part and pulling the incense part back slightly and allowing it to smack to wall leaving a black powder line and meditated,fear
317,i feel helpless to overcome the voice that is telling me consistently and firmly that i look disgusting and huge,sadness
318,i feel pain even when i see an unfortunate person in street begging why does my mind race and think why is that person there,sadness
319,i feel kinda lost posted by a href http jumbleupon,sadness
320,i think we i can get caught up in the nature of being busy of feeling the need to fill each moment with industry of some sort of occupying blank spaces with effort and chores,sadness
321,i feel like prom dresses this gorgeous did not exist five years ago,joy
322,i sit here tonight i m pensive tense and feeling a little fearful,fear
323,i will probably never feel bouncy so feel free to remove that emotion from my selection,joy
324,i feel unsure because my financial future thanks to the stupid law is at this point partly dependent on js integrity rejected and jilted by j after we took vows unsure and even a little worried about getting passport ability to do so,fear
325,i miss marching and saluting more than anything but i feel like in order to be successful i need to get my grades together first and then worry about other things,joy
326,i feel all numb,sadness
327,i feel like im loving them even more now that im working again i appreciate every snuggle and feeding just a little more since i miss so much when im gone,love
328,i feel as one with the trail without being totally punished by it,sadness
329,i am most certainly an acquired taste but lately many of those around me have seemed to feel the taste to be bitter,anger
330,i really feel like writing about or supporting their product in the payperpost marketplace,love
331,i like that i don t feel pressured yet i like spending time with him,fear
332,i felt that aching feeling anymore and i had to think about it but no i dont have that aching feeling unless i am missing my family,sadness
333,i feel times less bitchy,anger
334,i feel like a naughty school girl because i am falling behind,love
335,i feel that educating families and supporting and educationg mamas and papas is key,joy
336,im sitting at the spare desk feeling totally disillusioned and frustrated with my working life in general,sadness
337,i was feeling a little like a cold was coming on,anger
338,i feel out of place because im more relaxed and informal,joy
339,i feel treasured i feel loved i feel ive done more than just pursue the craft i adore and make a living from it and more than just fulfil the only real ambition ive ever had of becoming a professional writer,love
340,i feel like im unwelcome,sadness
341,i said before i feel like a hypocrite advocating for diabetes support and awareness without supporting my own situation,love
342,i want them to feel as thought it is family friendly and will be enjoyed by all ages,joy
343,i feel that i am useful to my people and that gives me a great feeling of achievement,joy
344,i have to have it done but i feel terrified of another intrusion to my body,fear
345,i feel that way about popular culture,joy
346,im amazed how many men say they feel unloved if the house is messy and they have to fix their own dinner,sadness
347,i realize that i sound a little overdramatic when i say that but if you sincerely feel that way you have clearly missed the point of all of these posts,sadness
348,i feel i have to give credit to jen mitchell for her gorgeous card a href http www,joy
349,i feel honored that you would think of me as inspiring,joy
350,i said at the beginning i have combination oily skin but i still use this around once a week because my skin feels absolutely gorgeous the morning after applying it,joy
351,i have all of that obviously because of what i do on youtube and my blog and while i have a ton i like that i can feel ok about it because i have it managed in a nice and organized way,joy
352,im just tired of feeling bitchy and completely worthless,anger
353,i had the feeling stubborn and ridiculous and possibly several more colourful turns of phrase as the children were all still asleep were on the tip of her tongue but she settled for heaving a sigh and turning to leave,anger
354,i want to say in front of you but embarrassed feeling is comes and my mouth be dumb cannot say that im very love you i know you dont like me because in front your eye im not pretty like what you think in your mind but thats not a reason why you dont love me right,sadness
355,i also had my first slice of xmas cake today so im feeling very festive,joy
356,ive been feeling really energetic at night and honestly i needed this,joy
357,i get the feeling that my supervising teacher is overwhelmed and may have too many students,fear
358,i like being in church on sundays it makes me feel more virtuous how self effacing and more settled for the week ahead,joy
359,i homophobic men repressed homosexual feelings paranoia projection a tragic story how dangerous sexual repression is,sadness
360,i feel incredibly nervous about it,fear
361,i would accept your gift without feeling mad,anger
362,i doubt theres any greater reluctance by federal authorities to employ tear gas and plain force if they feel threatened,fear
363,im feeling more than a little dazed,surprise
364,i have a lot going on in my life and feel overwhelmed,fear
365,i feel like ive entered some weird universe and i really am grateful for it,fear
366,i feel uncomfortable here,fear
367,i was still feeling distressed richie got another catheter bag he took off the old bag and connected the new one,fear
368,i am so sick of feeling worthless and useless and miserable,sadness
369,im feeling a little stressed out with it all,sadness
370,i feel pretty jaded lately with the pace of my life so i dont mind doing something fun like killing zombies in real life xd but if it dont happen then more reason for me to get off my butt and do something fun,sadness
371,i sensed such a feeling when i understood i was admitted to the university i was at home,joy
372,i feel listless but today was aiiiiighhhht,sadness
373,i finally arrived home a couple of hours later feeling somewhat exhausted dehydrated and even sun burnt,sadness
374,i am energetically pursuing my goals or i feel agitated and unable to sit still,anger
375,i feel someone has been wronged when i feel i have been wronged or when i get riled up against an action i find offensive i unsheathe my sword and good lord you better look out,anger
376,i feel ashamed that i again let it come that far,sadness
377,i have no idea if this is interesting for anybody to read but i found myself smiling like a fool laughing at some points and feeling overwhelmed with gratefulness,surprise
378,i get to feeling vain about it i start thinking of it as a battle scar and one that i will wear proudly,sadness
379,i decided to try the zipline in picnic grove since we are feeling a bit of adventurous that day,joy
380,i love earning money and having it but because i grew up in a lower middle class family i feel very appreciative of the money that i do have,joy
381,i think this will help somebody out there that feels hopeless and alone,sadness
382,i do not like the originals but i want rebekah to have a satisfactory ending and not to be shamed for feeling and loving by klaus and to some extent stefan and damon,love
383,i feel that i am afraid of whatever ad anything that will happen and idc is it good or bad i am just afraid and i hope god you will help me in whatever i do,fear
384,i do jogless stripes even though its ridiculously simple to do i feel like i have super powers and have to oogle a while over the magic of it all,joy
385,i met up with some friends to watch the hockey game and headed off to a local pub called pig and duke ate some parmesan truffle wings not sure how i feel about those and some prawn lollipops delicious but terrible name,joy
386,i didn t feel accepted,joy
387,im feeling truly adventurous ill go for a faux hawk of some sort,joy
