,data,label,type
47,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",1,spam
48,Are u coming to the funeral home,0,ham
49,No problem. How are you doing?,0,ham
50,"Me also da, i feel yesterday night  wait til 2day night dear.",0,ham
51,Everybody had fun this evening. Miss you.,0,ham
52,*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?,0,ham
53,I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!,0,ham
54,Need a coffee run tomo?Can't believe it's that time of week already,0,ham
55,Dude just saw a parked car with its sunroof popped up. Sux,0,ham
56,"Aight will do, thanks again for comin out",0,ham
57,"Yeah, don't go to bed, I'll be back before midnight",0,ham
58,"Total disappointment, when I texted you was the craziest shit got :(",0,ham
59,Guess he wants alone time. We could just show up and watch when they do..,0,ham
60,What makes you most happy?,0,ham
61,Have you got Xmas radio times. If not i will get it now,0,ham
62,What u talking bout early morning? It's almost noon where your at!,0,ham
63,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),0,ham
64,Is she replying. Has boye changed his phone number,0,ham
65,On ma way to school. Can you pls send me ashley's number,0,ham
66,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,0,ham
67,"Easy mate, * guess the quick drink was bit ambitious.",0,ham
68,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",1,spam
69,On the road so cant txt,0,ham
70,How i noe... She's in da car now... Later then c lar... I'm wearing shorts...,0,ham
71,I'm okay. Chasing the dream. What's good. What are you doing next.,0,ham
72,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,1,spam
73,Ok... Thanx... Gd nite 2 ü too...,0,ham
74,I was just callin to say hi. Take care bruv!,0,ham
75,"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg £1.50",1,spam
76,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,0,ham
77,U still havent got urself a jacket ah?,0,ham
78,I'll let you know when it kicks in,0,ham
79,Ard 530 like dat lor. We juz meet in mrt station then ü dun haf to come out.,0,ham
80,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies",0,ham
81,Why you keeping me away like this,0,ham
82,How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.,0,ham
83,Or remind me in a few hrs.,0,ham
84,Hey so this sat are we going for the intro pilates only? Or the kickboxing too? ,0,ham
85,Howz pain.it will come down today.do as i said ystrday.ice and medicine.,0,ham
86,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0,ham
87,In that case I guess I'll see you at campus lodge,0,ham
88,I can't describe how lucky you are that I'm actually awake by noon,0,ham
89,Ok ill send you with in  &lt;DECIMAL&gt;  ok.,0,ham
90,URGENT! Your Mobile number has been awarded with a £2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only,1,spam
91,Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.,0,ham
92,"I've got  &lt;#&gt; , any way I could pick up?",0,ham
93,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!",0,ham
94,So i could kiss and feel you next to me...,0,ham
95,What your plan for pongal?,0,ham
96,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe",0,ham
97,Can't take any major roles in community outreach. You rock mel,0,ham
98,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,0,ham
99,Thanx a lot 4 ur help!,0,ham
100,"I‘ll leave around four, ok?",0,ham
101,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",0,ham
102,WOT U UP 2 J?,0,ham
103,Its a great day. Do have yourself a beautiful one.,0,ham
104,Ü no home work to do meh... ,0,ham
105,I reach home safe n sound liao...,0,ham
106,Yes.mum lookin strong:),0,ham
107,Just now saw your message.it k da:),0,ham
108,U guys never invite me anywhere :(,0,ham
109,I got your back! Do you have any dislikes in bed?,0,ham
110,"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",1,spam
111,How was txting and driving,0,ham
112,Is ur lecture over?,0,ham
113,Shopping? Eh ger i toking abt syd leh...Haha,0,ham
114,Yup next stop.,0,ham
115,I am waiting machan. Call me once you free.,0,ham
116,Are you free now?can i call now?,0,ham
117,Not yet chikku..wat abt u?,0,ham
118,I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.,0,ham
119,Leave it de:-). Start Prepare for next:-)..,0,ham
120,Ugh fuck it I'm resubbing to eve,0,ham
121,Black shirt n blue jeans... I thk i c ü...,0,ham
122,You said to me before i went back to bed that you can't sleep for anything.,0,ham
123,"Yep, by the pretty sculpture",0,ham
124,Will purchase d stuff today and mail to you. Do you have a po box number?,0,ham
125,They don't put that stuff on the roads to keep it from getting slippery over there?,0,ham
126,I know a few people I can hit up and fuck to the yes,0,ham
127,"""Are you comingdown later?""",0,ham
128,"Dad wanted to talk about the apartment so I got a late start, omw now",0,ham
129,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,0,ham
130,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-(",0,ham
131,I dont. Can you send it to me. Plus how's mode.,0,ham
132,I WILL CAL YOU SIR. In meeting,0,ham
133,I've sent ü my part..,0,ham
134,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May",0,ham
135,E admin building there? I might b slightly earlier... I'll call u when i'm reaching...,0,ham
136,Hey. You got any mail?,0,ham
137,U can call me now...,0,ham
138,No plm i will come da. On the way.,0,ham
139,Hi my email address has changed now it is ,0,ham
140,I'm meeting Darren...,0,ham
141,Does not operate after  &lt;#&gt;  or what,0,ham
142,"Hiya, probably coming home * weekend after next",0,ham
143,Did you stitch his trouser,0,ham
144,K still are you loving me.,0,ham
145,Wat ü doing now?,0,ham
146,Good night. Am going to sleep.,0,ham
147,Ryder unsold.now gibbs.,0,ham
148,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.",0,ham
149,* Will be september by then!,0,ham
150,Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.,0,ham
151,Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe,0,ham
152,2mro i am not coming to gym machan. Goodnight.,0,ham
153,Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time ,0,ham
154,I had a good time too. Its nice to do something a bit different with my weekends for a change. See ya soon,0,ham
155,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),1,spam
156,ITS A LAPTOP TAKE IT WITH YOU.,0,ham
157,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly..",0,ham
158,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel",1,spam
159,Nope i'm not drivin... I neva develop da photos lei...,0,ham
160,"Like  &lt;#&gt; , same question",0,ham
161,"Hey there! Glad u r better now. I hear u treated urself to a digi cam, is it good? We r off at 9pm. Have a fab new year, c u in coupla wks!",0,ham
162,"""BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & ILLSPEAK 2U SOONLOTS OF LOVEME XXXX.""",0,ham
163,You still at the game?,0,ham
164,I am joining today formally.Pls keep praying.will talk later.,0,ham
165,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,0,ham
166,U calling me right? Call my hand phone...,0,ham
167,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.,0,ham
168,Yeah sure I'll leave in a min,0,ham
169,Unni thank you dear for the recharge..Rakhesh,0,ham
170,Excellent! Wish we were together right now!,0,ham
171,We still on for tonight?,0,ham
172,Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .,0,ham
173,Well you told others you'd marry them...,0,ham
174,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",1,spam
175,Was actually about to send you a reminder today. Have a wonderful weekend,0,ham
176,Sorry da. I gone mad so many pending works what to do.,0,ham
177,Still chance there. If you search hard you will get it..let have a try :),0,ham
178,K..k..i'm also fine:)when will you complete the course?,0,ham
179,meet you in corporation st outside gap … you can see how my mind is working!,0,ham
180,"Haha just kidding, papa needs drugs",0,ham
181,Dunno he jus say go lido. Same time 930.,0,ham
182,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!,1,spam
183,Can come my room but cannot come my house cos my house still messy... Haha...,0,ham
184,Me sef dey laugh you. Meanwhile how's my darling anjie!,0,ham
185,Oh god..taken the teeth?is it paining,0,ham
186,on hen night. Going with a swing,0,ham
187,That one week leave i put know that time. Why.,0,ham
188,K k:) sms chat with me.,0,ham
189,"fyi I'm at usf now, swing by the room whenever",0,ham
190,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,1,spam
191,"Yes, princess. Are you going to make me moan?",0,ham
192,U wake up already? Thanx 4 e tau sar piah it's quite nice.,0,ham
193," came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too.",0,ham
194,"Why is that, princess? I bet the brothas are all chasing you!",0,ham
195,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at £350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS",1,spam
196,You busy or can I come by at some point and figure out what we're doing tomorrow,0,ham
197,"Ur balance is now £600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!",1,spam
198,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?",0,ham
199,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,1,spam
200,Yes when is the appt again?,0,ham
201,You will go to walmart. I.ll stay.,0,ham
202,Just getting back home,0,ham
203,He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes,0,ham
204,I have printed it oh. So  &lt;#&gt;  come upstairs,0,ham
205,"Actually nvm, got hella cash, we still on for  &lt;#&gt; ish?",0,ham
206,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,1,spam
207,Or u ask they all if next sat can a not. If all of them can make it then i'm ok lor.,0,ham
208,Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night,0,ham
209,Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...,0,ham
210,at bruce b downs &amp; fletcher now,0,ham
211,Might ax well im there.,0,ham
212,Wewa is 130. Iriver 255. All 128 mb.,0,ham
213,I'm good. Have you registered to vote?,0,ham
214,Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just  &lt;#&gt; bucks,0,ham
215,Love it! I want to flood that pretty pussy with cum...,0,ham
216,I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy,0,ham
217,"URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU",1,spam
218,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive £5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....",1,spam
219,"Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold  &lt;#&gt;  or any bb",0,ham
220,soon you will have the real thing princess! Do i make you wet? :),0,ham
221,Are you still getting the goods.,0,ham
222,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,1,spam
223,Do have a nice day today. I love you so dearly.,0,ham
224,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,1,spam
225,they released another Italian one today and it has a cosign option,0,ham
226,"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN.",0,ham
227,Waaaat?? Lololo ok next time then!,0,ham
228,But i'm surprised she still can guess right lor...,0,ham
229,Yup i thk so until e shop closes lor.,0,ham
230,"Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester",0,ham
231,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",1,spam
232,Hi! This is Roger from CL. How are you?,0,ham
233,"""HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS  FUCKINNICE!SELFISH,DEVIOUSBITCH.ANYWAY,IL CALL U""",0,ham
234,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. ""paths are made by walking.. not by waiting.."" Goodnight!",0,ham
235,"Sorry sir, i will call you tomorrow.  senthil.hsbc",0,ham
236,Ha... U jus ate honey ar? So sweet...,0,ham
237,Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!,0,ham
238,Not getting anywhere with this damn job hunting over here!,0,ham
239,&lt;#&gt;  w jetton ave if you forgot,0,ham
240,Are you ok. What happen to behave like this,0,ham
241,Ok lor wat time ü finish?,0,ham
242,Sat right? Okay thanks... ,0,ham
243,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,ham
244,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,1,spam
245,Where is that one day training:-),0,ham
246,Good. No swimsuit allowed :),0,ham
247,"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message",1,spam
248,Ok which your another number,0,ham
249,"There'll be a minor shindig at my place later tonight, you interested?",0,ham
250,IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,1,spam
251,No calls..messages..missed calls,0,ham
252,Oh k.k..where did you take test?,0,ham
253,So that means you still think of teju,0,ham
254,"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost £1.50. 2 cancel send STOP",1,spam
255,The evo. I just had to download flash. Jealous?,0,ham
256,Carry on not disturbing both of you,0,ham
257,Great. Have a safe trip. Dont panic surrender all.,0,ham
258,"""CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUNDS LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX.""",0,ham
259,Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor.,0,ham
260,"Goodmorning, Today i am late for  &lt;#&gt; min.",0,ham
261,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,0,ham
262,How stupid to say that i challenge god.You dont think at all on what i write instead you respond immed.,0,ham
263,I'm home. Ard wat time will u reach?,0,ham
264,"Haven't seen my facebook, huh? Lol!",0,ham
265,That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?,0,ham
266,I'll be late...,0,ham
267,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",0,ham
268,What is this 'hex' place you talk of? Explain!,0,ham
269,U ned to convince him tht its not possible witot hurting his feeling its the main,0,ham
270,Hi da:)how is the todays class?,0,ham
271,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,1,spam
272,"I'd say that's a good sign but, well, you know my track record at reading women",0,ham
273,Havent.,0,ham
274,I will see in half an hour,0,ham
275,"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say...",0,ham
276,Urgent! Please call 09061213237 from a landline. £5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,1,spam
277,"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.",0,ham
278,SORRY IM STIL FUCKED AFTER LAST NITE WENT TOBED AT 430 GOT UP 4 WORK AT 630,0,ham
279,"""AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.""",0,ham
280,How r ü going to send it to me?,0,ham
281,Otherwise had part time job na-tuition..,0,ham
282,Well she's in for a big surprise!,0,ham
283,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.,1,spam
284,"I need an 8th but I'm off campus atm, could I pick up in an hour or two?",0,ham
285,U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16,1,spam
286,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around",0,ham
287,Later i guess. I needa do mcat study too.,0,ham
288,"The fact that you're cleaning shows you know why i'm upset. Your priority is constantly ""what i want to do,"" not ""what i need to do.""",0,ham
289,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.,1,spam
290,Cos i want it to be your thing,0,ham
291,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.,0,ham
292,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...,0,ham
293,Well that must be a pain to catch,0,ham
294,"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only £1.50/week. SavaMob - offers mobile!",1,spam
295,I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.,0,ham
296,"I'm in solihull, | do you want anything?",0,ham
297,"Bill, as in: Are there any letters for me. i’m expecting one from orange that isn’t a bill but may still say orange on it.",0,ham
298,Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?,0,ham
299,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out,1,spam
300,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop",1,spam
301,We walked from my moms. Right on stagwood pass right on winterstone left on victors hill. Address is &lt;#&gt;,0,ham
302,Can you do a mag meeting this avo at some point?,0,ham
303,"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",0,ham
304,"We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-",0,ham
305,Howz pain?hope u r fine..,0,ham
306,Hey leave it. not a big deal:-) take care.,0,ham
307,Left dessert. U wan me 2 go suntec look 4 u?,0,ham
308,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),0,ham
309,Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*,0,ham
310,"K, I might come by tonight then if my class lets out early",0,ham
311,Mm yes dear look how i am hugging you both. :-P,0,ham
312,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ...",0,ham
313,"Yes but i dont care! I need you bad, princess!",0,ham
314,Yo come over carlos will be here soon,0,ham
315,Baaaaaaaabe! Wake up ! I miss you ! I crave you! I need you!,0,ham
316,"Call me. I m unable to cal. Lets meet bhaskar, and deep",0,ham
317,100 dating service cal;l 09064012103 box334sk38ch,1,spam
318,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0,ham
319,"I'll text carlos and let you know, hang on",0,ham
320,You in your room? I need a few,0,ham
321,Thats cool. i am a gentleman and will treat you with dignity and respect.,0,ham
322,Yup ok...,0,ham
323,Did you show him and wot did he say or could u not c him 4 dust?,0,ham
324,That's the way you should stay oh.,0,ham
325,"Evening * v good if somewhat event laden. Will fill you in, don't you worry … Head * ok but throat * wrecked. See you at six then!",0,ham
326,That's a shame! Maybe cld meet for few hrs tomo?,0,ham
327,R u sure they'll understand that! Wine * good idea just had a slurp!,0,ham
328,"Gud gud..k, chikku tke care.. sleep well gud nyt",0,ham
329,1 in cbe. 2 in chennai.,0,ham
330,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,1,spam
331,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with,0,ham
332,Good Morning plz call me sir,0,ham
333,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL,0,ham
334,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,1,spam
335,URGENT! We are trying to contact U Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm,1,spam
336,"I just lov this line: ""Hurt me with the truth, I don't mind,i wil tolerat.bcs ur my someone..... But, Never comfort me with a lie"" gud ni8 and sweet dreams",0,ham
337,Am surfing online store. For offers do you want to buy any thing.,0,ham
338,I think i've fixed it can you send a test message?,0,ham
339,She told to hr that he want posting in chennai:)because i'm working here:),0,ham
340,"Haha yeah, 2 oz is kind of a shitload",0,ham
341,Well i know Z will take care of me. So no worries.,0,ham
342,Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one ü cut ur hair. ,0,ham
343,She's good. How are you. Where r u working now,0,ham
344,u r a winner U ave been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),1,spam
345,"That's cool he'll be here all night, lemme know when you're around",0,ham
346,How much r ü willing to pay?,0,ham
347,Ü give me some time to walk there.,0,ham
348,"When you just put in the + sign, choose my number and the pin will show. Right?",0,ham
349,Give one miss from that number please,0,ham
350,Where r e meeting tmr?,0,ham
351,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,0,ham
352,If i not meeting ü all rite then i'll go home lor. If ü dun feel like comin it's ok.,0,ham
353,Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!,0,ham
354,I not at home now lei...,0,ham
